ano;ra;id_curso;id_disciplina;nome_disciplina;bim1;bim2;bim3;bim4;media;situacao;nome_aluno;nome_curso
2026;20260001;C003;D011;Resistencia dos Materiais;2.6;9.0;5.6;6.1;5.8;REPROVADO;Altair Valerian;Engenharia Civil
2026;20260001;C003;D012;Materiais de Construcao;6.9;2.5;7.7;4.1;5.3;REPROVADO;Altair Valerian;Engenharia Civil
2026;20260001;C003;D013;Topografia;0.9;9.7;7.6;5.8;6.0;APROVADO;Altair Valerian;Engenharia Civil
2026;20260001;C003;D014;Estruturas I;9.4;6.7;4.9;4.8;6.5;APROVADO;Altair Valerian;Engenharia Civil
2026;20260001;C003;D015;Hidraulica;8.4;2.3;5.0;4.0;4.9;REPROVADO;Altair Valerian;Engenharia Civil
2026;20260002;C001;D001;Algoritmos I;7.9;7.8;6.7;8.5;7.7;APROVADO;Frodo Romanoff;Analise de Sistemas
2026;20260002;C001;D002;Banco de Dados I;0.0;1.2;3.2;;;SEM_NOTAS;Frodo Romanoff;Analise de Sistemas
2026;20260002;C001;D003;Python para Dados;5.4;0.2;1.7;9.8;4.3;REPROVADO;Frodo Romanoff;Analise de Sistemas
2026;20260002;C001;D004;Engenharia de Software;4.2;0.3;;;;SEM_NOTAS;Frodo Romanoff;Analise de Sistemas
2026;20260002;C001;D005;SQL e Otimizacao;9.4;;;;;SEM_NOTAS;Frodo Romanoff;Analise de Sistemas
2026;20260003;C003;D011;Resistencia dos Materiais;9.2;6.7;6.3;1.9;6.0;APROVADO;Tony Phoenix;Engenharia Civil
2026;20260003;C003;D012;Materiais de Construcao;6.5;9.8;6.3;8.3;7.7;APROVADO;Tony Phoenix;Engenharia Civil
2026;20260003;C003;D013;Topografia;8.9;0.9;5.6;2.1;4.4;REPROVADO;Tony Phoenix;Engenharia Civil
2026;20260003;C003;D014;Estruturas I;6.5;4.7;2.6;8.4;5.5;REPROVADO;Tony Phoenix;Engenharia Civil
2026;20260003;C003;D015;Hidraulica;9.2;9.9;3.1;7.9;7.5;APROVADO;Tony Phoenix;Engenharia Civil
2026;20260004;C002;D006;Estatistica Aplicada;5.7;4.2;0.7;2.5;3.3;REPROVADO;Gyarados Storm;Engenharia de Producao
2026;20260004;C002;D007;Processos Industriais;1.3;0.4;1.1;5.0;2.0;REPROVADO;Gyarados Storm;Engenharia de Producao
2026;20260004;C002;D008;Pesquisa Operacional;9.1;7.6;4.3;0.0;5.2;REPROVADO;Gyarados Storm;Engenharia de Producao
2026;20260004;C002;D009;Gestao da Qualidade;9.2;5.9;2.5;9.4;6.8;APROVADO;Gyarados Storm;Engenharia de Producao
2026;20260004;C002;D010;Planejamento e Controle;3.1;6.3;0.2;2.8;3.1;REPROVADO;Gyarados Storm;Engenharia de Producao
2026;20260005;C002;D006;Estatistica Aplicada;1.6;5.3;3.1;7.4;4.3;REPROVADO;Gyarados Raven;Engenharia de Producao
2026;20260005;C002;D007;Processos Industriais;1.3;1.7;8.2;9.6;5.2;REPROVADO;Gyarados Raven;Engenharia de Producao
2026;20260005;C002;D008;Pesquisa Operacional;6.8;3.1;0.8;5.3;4.0;REPROVADO;Gyarados Raven;Engenharia de Producao
2026;20260005;C002;D009;Gestao da Qualidade;7.5;5.9;0.7;7.2;5.3;REPROVADO;Gyarados Raven;Engenharia de Producao
2026;20260005;C002;D010;Planejamento e Controle;0.9;8.3;8.2;3.7;5.3;REPROVADO;Gyarados Raven;Engenharia de Producao
2026;20260006;C003;D011;Resistencia dos Materiais;3.4;4.9;9.4;9.4;6.8;APROVADO;Ditto Dawn;Engenharia Civil
2026;20260006;C003;D012;Materiais de Construcao;1.9;1.9;6.8;5.4;4.0;REPROVADO;Ditto Dawn;Engenharia Civil
2026;20260006;C003;D013;Topografia;4.4;0.4;9.4;1.2;3.9;REPROVADO;Ditto Dawn;Engenharia Civil
2026;20260006;C003;D014;Estruturas I;2.6;9.6;1.8;2.9;4.2;REPROVADO;Ditto Dawn;Engenharia Civil
2026;20260006;C003;D015;Hidraulica;4.3;5.7;5.5;9.6;6.3;APROVADO;Ditto Dawn;Engenharia Civil
2026;20260007;C002;D006;Estatistica Aplicada;6.3;3.5;1.3;1.7;3.2;REPROVADO;Link Blade;Engenharia de Producao
2026;20260007;C002;D007;Processos Industriais;9.8;9.1;9.6;3.3;8.0;APROVADO;Link Blade;Engenharia de Producao
2026;20260007;C002;D008;Pesquisa Operacional;8.4;6.7;2.5;3.6;5.3;REPROVADO;Link Blade;Engenharia de Producao
2026;20260007;C002;D009;Gestao da Qualidade;4.9;1.8;1.2;5.7;3.4;REPROVADO;Link Blade;Engenharia de Producao
2026;20260007;C002;D010;Planejamento e Controle;1.1;7.3;6.7;1.5;4.2;REPROVADO;Link Blade;Engenharia de Producao
2026;20260008;C003;D011;Resistencia dos Materiais;5.9;5.0;0.3;5.2;4.1;REPROVADO;Gabumon Maximus;Engenharia Civil
2026;20260008;C003;D012;Materiais de Construcao;9.5;9.0;5.3;5.7;7.4;APROVADO;Gabumon Maximus;Engenharia Civil
2026;20260008;C003;D013;Topografia;8.0;8.8;2.2;4.1;5.8;REPROVADO;Gabumon Maximus;Engenharia Civil
2026;20260008;C003;D014;Estruturas I;0.3;3.0;6.5;0.2;2.5;REPROVADO;Gabumon Maximus;Engenharia Civil
2026;20260008;C003;D015;Hidraulica;0.8;7.8;1.8;4.5;3.7;REPROVADO;Gabumon Maximus;Engenharia Civil
